rank_arwu;title;flag;regional;score_arwu;score_alumni
101;University of Virginia;;53-64;0;
101;University of Wageningen;;5-7;0;
101;Université Paris Diderot - Paris 7;;5-7;11.8;
101;Weizmann Institute of Science;;3;18.2;
151;Erasmus University;;8;0;
151;Fudan University;;4-6;0;
151;George Mason University;;65-77;0;
151;Icahn School of Medicine at Mount Sinai;;65-77;0;
151;Iowa State University;;65-77;0;
151;King Abdulaziz University;;1-2;0;
151;King Saud University;;1-2;0;
151;Kyushu University;;7-8;0;
151;Nanyang Technological University, Singapore (NTU);;2;0;
151;North Carolina State University - Raleigh;;65-77;0;
151;Oregon Health and Science University;;65-77;0;
151;Oregon State University;;65-77;10.5;
151;Tel Aviv University;;4;0;
151;The Chinese University of Hong Kong;;1-2;0;
151;The University of Adelaide;;8;14.9;
151;The University of Calgary;;7;0;
151;The University of Georgia;;65-77;0;
151;The University of Hong Kong;;1-2;0;
151;Tokyo Institute of Technology;;7-8;12.9;
151;Trinity College Dublin;;1;10.5;
151;University of Barcelona;;1;0;
151;University of Bern;;6-7;12.9;
151;University of Bologna;;1-6;0;
151;University of Buenos Aires;;1;14.9;
151;University of Delaware;;65-77;10.5;
151;University of East Anglia;;18-20;13.9;
151;University of Gothenburg;;5;0;
151;University of Hamburg;;8-13;11.8;
151;University of Hawaii at Mañoa;;65-77;0;
151;University of Illinois at Chicago;;65-77;0;
151;University of Iowa;;65-77;0;
151;University of Kiel;;8-13;10.5;
151;University of Koeln;;8-13;0;
151;University of Lausanne;;6-7;0;
151;University of Miami;;65-77;0;
151;University of Milan;;1-6;17.5;
151;University of Muenster;;8-13;19.7;
151;University of Padua;;1-6;0;
151;University of Paris Descartes - Paris 5;;8;11.8;
151;University of Pisa;;1-6;13.9;
151;University of Roma - La Sapienza;;1-6;11.8;
151;University of Science and Technology of China;;4-6;0;
151;University of Sussex;;18-20;0;
151;University of Tuebingen;;8-13;22.9;
151;University of Turin;;1-6;15.8;
151;University of Vienna;;1;13.9;
151;The University of Warwick;;18-20;0;
151;University of Wuerzburg;;8-13;19.7;
151;Virginia Commonwealth University;;65-77;10.5;
151;Zhejiang University;;4-6;0;
201;Autonomous University of Barcelona;;2-4;0;
201;Autonomous University of Madrid;;2-4;0;
201;Beijing Normal University;;7-12;15.8;
201;Charles University in Prague;;1;9.1;
201;City University of Hong Kong;;3-4;0;
201;Claude Bernard University Lyon 1;;9-14;10.5;
201;Colorado State University;;78-104;0;
201;Dalhousie University;;8-16;0;
201;Dartmouth College;;78-104;18.2;
201;Delft University of Technology;;9-10;11.8;
201;Durham University;;21-29;0;
201;Ecole Normale Superieure - Lyon;;9-14;0;
201;Florida State University;;78-104;0;
201;Harbin Institute of Technology;;7-12;0;
201;Huazhong University of Science and Technology;;7-12;0;
201;Karlsruhe Institute of Technology;;14-22;0;
201;Kobe University;;9-10;14.9;
201;Korea Advanced Institute of Science and Technology;;2-5;0;
201;Korea University;;2-5;0;
201;Laval University;;8-16;0;
201;Louisiana State University - Baton Rouge;;78-104;0;
201;Maastricht University;;9-10;0;
201;Macquarie University;;9;0;
201;Medical University of Vienna;;2-3;9.1;
201;Nanjing University;;7-12;0;
201;National Autonomous University of Mexico;;1;12.9;
201;National Cheng Kung University;;2-3;0;
201;National Tsing Hua University;;2-3;12.9;
201;Newcastle University;;21-29;0;
201;Northeastern University;;78-104;0;
201;Norwegian University of Science And Technology;;2-3;13.9;
201;Paul Sabatier University - Toulouse 3;;9-14;0;
201;Polytechnic Institute of Milan;;7-8;7.4;
201;Queen Mary; University of London;;21-29;18.2;
201;Queen's University;;8-16;0;
201;Rensselaer Polytechnic Institute;;78-104;12.9;
201;Royal Institute of Technology;;6-8;0;
201;RWTH Aachen University;;14-22;0;
201;Simon Fraser University;;8-16;0;
201;State University of New York at Buffalo;;78-104;0;
201;Stony Brook University;;78-104;0;
201;Sun Yat-sen University;;7-12;0;
201;Sungkyunkwan University;;2-5;0;
201;Swedish University of Agricultural Sciences;;6-8;0;
