"country_tid";"rank_pharmacy";"region_tid";"score_pharmacy";"title"
128.0;164.0;71.0;0.0;"National Cheng Kung University"
171.0;165.0;140.0;0.0;"National University of Ireland, Galway"
106.0;166.0;71.0;0.0;"Pusan National University"
54.0;167.0;6.0;0.0;"Stellenbosch University"
128.0;168.0;71.0;0.0;"Taipei Medical University"
222.0;169.0;213.0;0.0;"Western University"
199.0;170.0;140.0;0.0;"Universidad Autónoma de Madrid"
199.0;171.0;140.0;0.0;"University of Navarra"
199.0;172.0;140.0;0.0;"University of Salamanca"
174.0;173.0;140.0;0.0;"University of Naples - Federico Ii"
174.0;174.0;140.0;0.0;"Università degli Studi di Roma - Tor Vergata"
174.0;175.0;140.0;0.0;"University of Pisa"
199.0;176.0;140.0;0.0;"Universitat Autònoma de Barcelona"
162.0;177.0;140.0;0.0;"Universität des Saarlandes"
162.0;178.0;140.0;0.0;"Universität Hamburg"
162.0;179.0;140.0;0.0;"Universität Regensburg"
158.0;180.0;140.0;0.0;"Université Claude Bernard Lyon 1"
222.0;181.0;213.0;0.0;"Université de Montréal "
158.0;182.0;140.0;0.0;"Université Montpellier 1"
158.0;183.0;140.0;0.0;"Université Paris Diderot - Paris 7"
113.0;184.0;71.0;0.0;"Universiti Kebangsaan Malaysia (UKM)"
113.0;185.0;71.0;0.0;"Universiti Putra Malaysia (UPM)"
171.0;186.0;140.0;0.0;"University College Cork"
208.0;187.0;140.0;0.0;"University of Aberdeen"
208.0;188.0;140.0;0.0;"University of Bath"
208.0;189.0;140.0;0.0;"University of Bradford"
257.0;190.0;213.0;0.0;"University of Cincinnati"
257.0;191.0;213.0;0.0;"University of Connecticut"
257.0;192.0;213.0;0.0;"University of Houston"
120.0;193.0;71.0;0.0;"University of Karachi"
208.0;194.0;140.0;0.0;"University of Leicester"
334.0;195.0;317.0;0.0;"University of Otago"
174.0;196.0;140.0;0.0;"University of Parma"
191.0;197.0;140.0;0.0;"University of Porto"
319.0;198.0;317.0;0.0;"University of Tasmania"
257.0;199.0;213.0;0.0;"Washington State University"
162.0;200.0;140.0;0.0;"Westfälische Wilhelms-Universität Münster "
