"country_tid";"rank_electrical";"region_tid";"score_electrical";"title"
171.0;136.0;140.0;0.0;"University College Cork"
171.0;137.0;140.0;0.0;"University College Dublin"
222.0;138.0;213.0;0.0;"University of Alberta"
208.0;139.0;140.0;0.0;"University of Bristol"
257.0;140.0;213.0;0.0;"University of California, Davis"
257.0;141.0;213.0;0.0;"University of Florida"
208.0;142.0;140.0;0.0;"University of Glasgow"
257.0;143.0;213.0;0.0;"University of Maryland, College Park"
257.0;144.0;213.0;0.0;"University of Minnesota"
319.0;145.0;317.0;0.0;"The University of Newcastle, Australia (UoN)"
87.0;146.0;71.0;0.0;"University of Science and Technology of China"
208.0;147.0;140.0;0.0;"University of Strathclyde"
257.0;148.0;213.0;0.0;"University of Washington"
203.0;149.0;140.0;0.0;"Uppsala University"
100.0;150.0;71.0;0.0;"Waseda University"
87.0;151.0;71.0;0.0;"Xi'an Jiaotong University"
166.0;152.0;140.0;0.0;"Aristotle University of Thessaloniki"
257.0;153.0;213.0;0.0;"Arizona State University"
134.0;154.0;71.0;0.0;"Bilkent University"
134.0;155.0;71.0;0.0;"Bogazici University"
257.0;156.0;213.0;0.0;"Boston University"
131.0;157.0;71.0;0.0;"Chulalongkorn University"
319.0;158.0;317.0;0.0;"Curtin University"
151.0;159.0;140.0;0.0;"Czech Technical University In Prague"
158.0;160.0;140.0;0.0;"Ecole Polytechnique"
87.0;161.0;71.0;0.0;"Harbin Institute of Technology"
100.0;162.0;71.0;0.0;"Hokkaido University"
87.0;163.0;71.0;0.0;"Huazhong University of Science and Technology"
96.0;164.0;71.0;0.0;"Indian Institute of Technology Roorkee (IITR)"
134.0;165.0;71.0;0.0;"Istanbul Technical University"
100.0;166.0;71.0;0.0;"Keio University"
208.0;167.0;140.0;0.0;"King's College London (KCL)"
106.0;168.0;71.0;0.0;"Kyung Hee University"
208.0;169.0;140.0;0.0;"Loughborough University"
222.0;170.0;213.0;0.0;"McMaster University"
87.0;171.0;71.0;0.0;"Nanjing University"
128.0;172.0;71.0;0.0;"National Chung Hsing University"
128.0;173.0;71.0;0.0;"National Sun Yat-sen University"
257.0;174.0;213.0;0.0;"New York University (NYU)"
257.0;175.0;213.0;0.0;"North Carolina State University"
189.0;176.0;140.0;0.0;"Norwegian University of Science And Technology"
208.0;177.0;140.0;0.0;"Queen's University of Belfast"
257.0;178.0;213.0;0.0;"Rensselaer Polytechnic Institute"
87.0;179.0;71.0;0.0;"Southeast University"
156.0;180.0;140.0;0.0;"Tampere University of Technology "
74.0;181.0;71.0;0.0;"Technion - Israel Institute of Technology"
143.0;182.0;140.0;0.0;"Graz University of Technology"
208.0;183.0;140.0;0.0;"The University of Warwick"
87.0;184.0;71.0;0.0;"Tianjin University"
171.0;185.0;140.0;0.0;"Trinity College Dublin"
199.0;186.0;140.0;0.0;"Universidad Carlos III de Madrid"
199.0;187.0;140.0;0.0;"Universidad de Sevilla"
174.0;188.0;140.0;0.0;"Università degli Studi di Roma - Tor Vergata"
174.0;189.0;140.0;0.0;"University of Pisa"
199.0;190.0;140.0;0.0;"University of Barcelona"
162.0;191.0;140.0;0.0;"Friedrich-Alexander-Universität Erlangen-Nürnberg"
162.0;192.0;140.0;0.0;"Universität Freiburg"
146.0;193.0;140.0;0.0;"Université Catholique de Louvain (UCL)"
208.0;194.0;140.0;0.0;"University of Birmingham"
222.0;195.0;213.0;0.0;"University of Calgary"
257.0;196.0;213.0;0.0;"University of Colorado Boulder"
146.0;197.0;140.0;0.0;"University of Ghent"
191.0;198.0;140.0;0.0;"University of Porto"
208.0;199.0;140.0;0.0;"University of Surrey"
319.0;200.0;317.0;0.0;"University of Technology, Sydney"
187.0;201.0;140.0;0.0;"University of Twente"
190.0;202.0;140.0;0.0;"Warsaw University of Technology"
