"country_tid";"rank_statistics";"region_tid";"score_statistics";"title"
257.0;105.0;213.0;0.0;"Colorado State University"
158.0;106.0;140.0;0.0;"Ecole normale supérieure, Paris"
96.0;107.0;71.0;0.0;"Indian Institute of Technology Bombay (IITB)"
96.0;108.0;71.0;0.0;"Indian Institute of Technology Kanpur (IITK)"
96.0;109.0;71.0;0.0;"Indian Institute of Technology, Kharagpur"
96.0;110.0;71.0;0.0;"Indian Statistical Institute"
257.0;111.0;213.0;0.0;"Indiana University Bloomington"
77.0;112.0;71.0;0.0;"King Fahd University of Petroleum & Minerals"
162.0;113.0;140.0;0.0;"Ludwig-Maximilians-Universität München"
203.0;114.0;140.0;0.0;"Lund University"
334.0;115.0;317.0;0.0;"Massey University"
222.0;116.0;213.0;0.0;"McMaster University"
257.0;117.0;213.0;0.0;"Michigan State University"
134.0;118.0;71.0;0.0;"Middle East Technical University"
128.0;119.0;71.0;0.0;"National Central University"
166.0;120.0;140.0;0.0;"National Technical University of Athens"
257.0;121.0;213.0;0.0;"Ohio State University"
162.0;122.0;140.0;0.0;"RWTH Aachen University"
208.0;123.0;140.0;0.0;"The University of Sheffield"
319.0;124.0;317.0;0.0;"The University of Western Australia"
222.0;125.0;213.0;0.0;"Western University"
199.0;126.0;140.0;0.0;"Universidad Carlos III de Madrid"
199.0;127.0;140.0;0.0;"University of Granada"
353.0;128.0;349.0;0.0;"Universidade Federal de Minas Gerais   "
353.0;129.0;349.0;0.0;"Universidade Federal do Rio de Janeiro"
199.0;130.0;140.0;0.0;"Universitat Autònoma de Barcelona"
199.0;131.0;140.0;0.0;"Universitat Politècnica de Catalunya "
158.0;132.0;140.0;0.0;"Université Paris-Dauphine"
187.0;133.0;140.0;0.0;"University of Amsterdam"
208.0;134.0;140.0;0.0;"University of Bath"
208.0;135.0;140.0;0.0;"University of Birmingham"
257.0;136.0;213.0;0.0;"UC Irvine - Extension, English and Certificates for Internationals"
334.0;137.0;317.0;0.0;"University of Canterbury"
208.0;138.0;140.0;0.0;"University of Edinburgh"
146.0;139.0;140.0;0.0;"University of Ghent"
257.0;140.0;213.0;0.0;"University of Kansas"
208.0;141.0;140.0;0.0;"University of Leeds"
191.0;142.0;140.0;0.0;"University of Lisbon "
257.0;143.0;213.0;0.0;"University of Pittsburgh"
208.0;144.0;140.0;0.0;"University of St Andrews"
257.0;145.0;213.0;0.0;"The University of Tennessee, Knoxville"
187.0;146.0;140.0;0.0;"Utrecht University"
257.0;147.0;213.0;0.0;"Virginia Tech"
187.0;148.0;140.0;0.0;"VU University Amsterdam"
222.0;149.0;213.0;0.0;"York University"
87.0;150.0;71.0;0.0;"Zhejiang University"
166.0;151.0;140.0;0.0;"Athens University of Economy And Business"
87.0;152.0;71.0;0.0;"Beijing Normal University "
208.0;153.0;140.0;0.0;"Brunel University London"
208.0;154.0;140.0;0.0;"City University London"
319.0;155.0;317.0;0.0;"Curtin University"
257.0;156.0;213.0;0.0;"Florida State University"
162.0;157.0;140.0;0.0;"Georg-August-Universität Göttingen"
74.0;158.0;71.0;0.0;"The Hebrew University of Jerusalem"
208.0;159.0;140.0;0.0;"Heriot-Watt University"
187.0;160.0;140.0;0.0;"Leiden University"
203.0;161.0;140.0;0.0;"Linköping University"
193.0;162.0;140.0;0.0;"Lomonosov MSU"
87.0;163.0;71.0;0.0;"Nankai University"
166.0;164.0;140.0;0.0;"National and Kapodistrian University of Athens"
128.0;165.0;71.0;0.0;"National Sun Yat-sen University"
257.0;166.0;213.0;0.0;"Oregon State University"
208.0;167.0;140.0;0.0;"Queen Mary University of London (QMUL)"
208.0;168.0;140.0;0.0;"Queen's University of Belfast"
319.0;169.0;317.0;0.0;"Queensland University of Technology (QUT)"
124.0;170.0;71.0;0.0;"Singapore Management University"
203.0;171.0;140.0;0.0;"Stockholm University"
106.0;172.0;71.0;0.0;"Sungkyunkwan University"
128.0;173.0;71.0;0.0;"Tamkang University"
143.0;174.0;140.0;0.0;"Vienna University of Technology"
257.0;175.0;213.0;0.0;"The University of Georgia"
187.0;176.0;140.0;0.0;"Tilburg University"
87.0;177.0;71.0;0.0;"Tongji University"
199.0;178.0;140.0;0.0;"University Complutense Madrid"
199.0;179.0;140.0;0.0;"Universidad de Zaragoza"
357.0;180.0;349.0;0.0;"Universidad Nacional de Colombia"
353.0;181.0;349.0;0.0;"Universidade Federal do Pernambuco"
174.0;182.0;140.0;0.0;"University of Padua"
174.0;183.0;140.0;0.0;"University of Pisa"
199.0;184.0;140.0;0.0;"Universitat de Valencia"
158.0;185.0;140.0;0.0;"Université Paris 1 Panthéon-Sorbonne "
158.0;186.0;140.0;0.0;"Université Paul Sabatier Toulouse III"
171.0;187.0;140.0;0.0;"University College Dublin"
222.0;188.0;213.0;0.0;"University of Alberta"
257.0;189.0;213.0;0.0;"University of Arizona"
257.0;190.0;213.0;0.0;"University of Connecticut"
156.0;191.0;140.0;0.0;"University of Helsinki"
257.0;192.0;213.0;0.0;"University of Iowa"
257.0;193.0;213.0;0.0;"University of Massachusetts Amherst"
257.0;194.0;213.0;0.0;"University of North Carolina at Charlotte"
208.0;195.0;140.0;0.0;"University of Reading"
205.0;196.0;140.0;0.0;"University of Zurich (UZH)"
203.0;197.0;140.0;0.0;"Uppsala University"
100.0;198.0;71.0;0.0;"Waseda University"
257.0;199.0;213.0;0.0;"Washington State University"
87.0;200.0;71.0;0.0;"Xiamen University"
