"country_tid";"rank_politics";"region_tid";"score_politics";"title"
257.0;155.0;213.0;0.0;"Colorado State University"
171.0;156.0;140.0;0.0;"Dublin City University"
257.0;157.0;213.0;0.0;"George Mason University"
257.0;158.0;213.0;0.0;"Georgia Institute of Technology"
134.0;159.0;71.0;0.0;"Koc University "
208.0;160.0;140.0;0.0;"Lancaster University"
208.0;161.0;140.0;0.0;"Loughborough University"
319.0;162.0;317.0;0.0;"Macquarie University"
222.0;163.0;213.0;0.0;"McMaster University"
208.0;164.0;140.0;0.0;"Newcastle University"
257.0;165.0;213.0;0.0;"Pennsylvania State University"
353.0;166.0;349.0;0.0;"Pontificia Universidade Católica do Rio de Janeiro (PUC - Rio)"
257.0;167.0;213.0;0.0;"Purdue University"
187.0;168.0;140.0;0.0;"Radboud University Nijmegen"
152.0;169.0;140.0;0.0;"Roskilde University"
203.0;170.0;140.0;0.0;"Stockholm University"
257.0;171.0;213.0;0.0;"Syracuse University"
162.0;172.0;140.0;0.0;"Technische Universität Darmstadt"
257.0;173.0;213.0;0.0;"Texas A&M University"
257.0;174.0;213.0;0.0;"The University of Georgia"
319.0;175.0;317.0;0.0;"The University of Western Australia"
222.0;176.0;213.0;0.0;"Western University"
353.0;177.0;349.0;0.0;"Universidade de Brasilia (UnB)"
353.0;178.0;349.0;0.0;"Universidade Federal do Rio de Janeiro"
174.0;179.0;140.0;0.0;"University of Trento"
162.0;180.0;140.0;0.0;"Universität Bremen"
208.0;181.0;140.0;0.0;"University of Aberdeen"
189.0;182.0;140.0;0.0;"University of Bergen"
208.0;183.0;140.0;0.0;"University of Bradford"
222.0;184.0;213.0;0.0;"University of Calgary"
319.0;185.0;317.0;0.0;"University of Canberra "
208.0;186.0;140.0;0.0;"University of East Anglia (UEA)"
203.0;187.0;140.0;0.0;"University of Gothenburg"
187.0;188.0;140.0;0.0;"University of Groningen"
54.0;189.0;6.0;0.0;"University of Johannesburg "
208.0;190.0;140.0;0.0;"University of Kent"
205.0;191.0;140.0;0.0;"University of Lausanne"
257.0;192.0;213.0;0.0;"University of Maryland, College Park"
257.0;193.0;213.0;0.0;"University of Massachusetts Amherst"
257.0;194.0;213.0;0.0;"University of Minnesota"
257.0;195.0;213.0;0.0;"University of Pittsburgh"
208.0;196.0;140.0;0.0;"University of Southampton"
208.0;197.0;140.0;0.0;"University of Strathclyde"
156.0;198.0;140.0;0.0;"University of Tampere"
54.0;199.0;6.0;0.0;"University of the Witwatersrand"
319.0;200.0;317.0;0.0;"University of Western Sydney "
