"country_tid";"rank_philosophy";"region_tid";"score_philosophy";"title"
156.0;188.0;140.0;0.0;"University of Jyväskylä"
205.0;189.0;140.0;0.0;"University of Lausanne"
257.0;190.0;213.0;0.0;"University of Maryland, College Park"
257.0;191.0;213.0;0.0;"University of Massachusetts Amherst"
257.0;192.0;213.0;0.0;"University of Nebraska - Lincoln"
189.0;193.0;140.0;0.0;"University of Oslo"
334.0;194.0;317.0;0.0;"University of Otago"
257.0;195.0;213.0;0.0;"University of Pennsylvania"
156.0;196.0;140.0;0.0;"University of Tampere"
257.0;197.0;213.0;0.0;"University of Utah"
205.0;198.0;140.0;0.0;"University of Zurich (UZH)"
187.0;199.0;140.0;0.0;"VU University Amsterdam"
87.0;200.0;71.0;0.0;"Zhejiang University"
