"country_tid";"rank_chemical";"region_tid";"score_chemical";"title"
199.0;132.0;140.0;0.0;"University of Barcelona"
162.0;133.0;140.0;0.0;"Friedrich-Alexander-Universität Erlangen-Nürnberg"
162.0;134.0;140.0;0.0;"Universität Stuttgart"
222.0;135.0;213.0;0.0;"Université de Montréal "
113.0;136.0;71.0;0.0;"Universiti Teknologi Malaysia (UTM)"
171.0;137.0;140.0;0.0;"University College Dublin"
222.0;138.0;213.0;0.0;"University of Alberta"
208.0;139.0;140.0;0.0;"University of Bath"
222.0;140.0;213.0;0.0;"University of Calgary"
257.0;141.0;213.0;0.0;"UC Irvine - Extension, English and Certificates for Internationals"
334.0;142.0;317.0;0.0;"University of Canterbury"
257.0;143.0;213.0;0.0;"University of Florida"
146.0;144.0;140.0;0.0;"University of Ghent"
257.0;145.0;213.0;0.0;"University of Houston"
257.0;146.0;213.0;0.0;"University of Maryland, College Park"
191.0;147.0;140.0;0.0;"University of Porto"
257.0;148.0;213.0;0.0;"University of Southern California"
222.0;149.0;213.0;0.0;"University of Waterloo"
87.0;150.0;71.0;0.0;"Xi'an Jiaotong University"
156.0;151.0;140.0;0.0;"Aalto University"
87.0;152.0;71.0;0.0;"Beihang University (former BUAA)"
87.0;153.0;71.0;0.0;"Chongqing University"
87.0;154.0;71.0;0.0;"Dalian University of Technology"
87.0;155.0;71.0;0.0;"Harbin Institute of Technology"
74.0;156.0;71.0;0.0;"The Hebrew University of Jerusalem"
208.0;157.0;140.0;0.0;"Heriot-Watt University"
87.0;158.0;71.0;0.0;"Huazhong University of Science and Technology"
96.0;159.0;71.0;0.0;"Indian Institute of Technology Roorkee (IITR)"
241.0;160.0;213.0;0.0;"Instituto Politécnico Nacional (IPN)"
257.0;161.0;213.0;0.0;"Iowa State University"
162.0;162.0;140.0;0.0;"Johannes Gutenberg Universität Mainz"
100.0;163.0;71.0;0.0;"Kobe University"
106.0;164.0;71.0;0.0;"Kyung Hee University"
208.0;165.0;140.0;0.0;"Loughborough University"
134.0;166.0;71.0;0.0;"Middle East Technical University"
128.0;167.0;71.0;0.0;"National Central University"
128.0;168.0;71.0;0.0;"National Taiwan University of Science And Technology (formerly National Taiwan Institute of Technology)"
166.0;169.0;140.0;0.0;"National Technical University of Athens"
257.0;170.0;213.0;0.0;"New York University (NYU)"
106.0;171.0;71.0;0.0;"Pusan National University"
208.0;172.0;140.0;0.0;"Queen's University of Belfast"
257.0;173.0;213.0;0.0;"Rensselaer Polytechnic Institute"
257.0;174.0;213.0;0.0;"Rutgers, The State University of New Jersey, New Brunswick"
106.0;175.0;71.0;0.0;"Sogang University"
319.0;176.0;317.0;0.0;"The University of Adelaide"
319.0;177.0;317.0;0.0;"The University of Western Australia"
100.0;178.0;71.0;0.0;"Tokyo University of Science"
87.0;179.0;71.0;0.0;"Tongji University"
199.0;180.0;140.0;0.0;"Universidad Autónoma de Madrid"
353.0;181.0;349.0;0.0;"Universidade Federal de Minas Gerais   "
353.0;182.0;349.0;0.0;"Universidade Federal do Rio de Janeiro"
174.0;183.0;140.0;0.0;"University of Naples - Federico Ii"
174.0;184.0;140.0;0.0;"University of Padua"
199.0;185.0;140.0;0.0;"Universitat Autònoma de Barcelona"
158.0;186.0;140.0;0.0;"Université Pierre et Marie Curie (UPMC)"
113.0;187.0;71.0;0.0;"Universiti Kebangsaan Malaysia (UKM)"
113.0;188.0;71.0;0.0;"Universiti Putra Malaysia (UPM)"
113.0;189.0;71.0;0.0;"Universiti Teknologi Petronas (Petronas)"
171.0;190.0;140.0;0.0;"University College Cork"
257.0;191.0;213.0;0.0;"University of Arizona"
54.0;192.0;6.0;0.0;"University of Cape Town"
257.0;193.0;213.0;0.0;"University of Colorado Boulder"
319.0;194.0;317.0;0.0;"The University of Newcastle, Australia (UoN)"
257.0;195.0;213.0;0.0;"University of Notre Dame"
222.0;196.0;213.0;0.0;"University of Ottawa"
166.0;197.0;140.0;0.0;"University of Patras"
257.0;198.0;213.0;0.0;"Vanderbilt University"
257.0;199.0;213.0;0.0;"Virginia Tech"
100.0;200.0;71.0;0.0;"Waseda University"
