"country_tid";"rank_english";"region_tid";"score_english";"title"
257.0;102.0;213.0;0.0;"University of Wisconsin-Madison"
222.0;103.0;213.0;0.0;"York University"
152.0;104.0;140.0;0.0;"Aarhus University"
208.0;105.0;140.0;0.0;"Aberystwyth University"
257.0;106.0;213.0;0.0;"Boston College"
257.0;107.0;213.0;0.0;"Boston University"
257.0;108.0;213.0;0.0;"George Washington University"
74.0;109.0;71.0;0.0;"The Hebrew University of Jerusalem"
190.0;110.0;140.0;0.0;"Jagiellonian University"
187.0;111.0;140.0;0.0;"Leiden University"
319.0;112.0;317.0;0.0;"Macquarie University"
208.0;113.0;140.0;0.0;"Oxford Brookes University"
355.0;114.0;349.0;0.0;"Pontificia Universidad Católica de Chile (UC)"
257.0;115.0;213.0;0.0;"Purdue University"
257.0;116.0;213.0;0.0;"Rice University"
222.0;117.0;213.0;0.0;"Simon Fraser University"
54.0;118.0;6.0;0.0;"Stellenbosch University"
257.0;119.0;213.0;0.0;"Texas A&M University"
208.0;120.0;140.0;0.0;"The University of Sheffield"
199.0;121.0;140.0;0.0;"Universidad Autónoma de Madrid"
350.0;122.0;349.0;0.0;"Universidad de Buenos Aires"
355.0;123.0;349.0;0.0;"Universidad de Santiago de Chile - USACH"
199.0;125.0;140.0;0.0;"Universitat Autònoma de Barcelona"
199.0;126.0;140.0;0.0;"University of Barcelona"
222.0;127.0;213.0;0.0;"Université de Montréal "
222.0;128.0;213.0;0.0;"Université du Québec"
158.0;129.0;140.0;0.0;"Université Paris Diderot - Paris 7"
158.0;130.0;140.0;0.0;"Université Paul-Valéry Montpellier 3"
257.0;131.0;213.0;0.0;"University at Buffalo SUNY"
208.0;132.0;140.0;0.0;"University of Aberdeen"
146.0;133.0;140.0;0.0;"University of Antwerp"
257.0;134.0;213.0;0.0;"University of California, San Diego (UCSD)"
257.0;135.0;213.0;0.0;"University of California, Santa Barbara (UCSB)"
257.0;136.0;213.0;0.0;"University of Delaware"
222.0;137.0;213.0;0.0;"University of Guelph"
257.0;138.0;213.0;0.0;"University of Minnesota"
257.0;139.0;213.0;0.0;"University of North Carolina, Chapel Hill"
257.0;140.0;213.0;0.0;"University of Oregon"
189.0;141.0;140.0;0.0;"University of Oslo"
222.0;142.0;213.0;0.0;"University of Ottawa"
257.0;143.0;213.0;0.0;"University of Pittsburgh"
54.0;144.0;6.0;0.0;"University of Pretoria"
257.0;145.0;213.0;0.0;"University of Southern California"
190.0;146.0;140.0;0.0;"University of Warsaw "
319.0;147.0;317.0;0.0;"University of Western Sydney "
203.0;148.0;140.0;0.0;"Uppsala University"
187.0;149.0;140.0;0.0;"Utrecht University"
257.0;150.0;213.0;0.0;"Vanderbilt University"
257.0;151.0;213.0;0.0;"Arizona State University"
208.0;152.0;140.0;0.0;"Bangor University"
257.0;153.0;213.0;0.0;"Binghamton University SUNY"
222.0;154.0;213.0;0.0;"Dalhousie University"
257.0;155.0;213.0;0.0;"Florida State University"
257.0;156.0;213.0;0.0;"Fordham University"
257.0;157.0;213.0;0.0;"Georgia State University"
222.0;158.0;213.0;0.0;"Laval University"
222.0;159.0;213.0;0.0;"McMaster University"
208.0;160.0;140.0;0.0;"Newcastle University"
187.0;161.0;140.0;0.0;"Radboud University Nijmegen"
208.0;162.0;140.0;0.0;"Swansea University"
74.0;163.0;71.0;0.0;"Tel Aviv University"
257.0;164.0;213.0;0.0;"Temple University"
257.0;165.0;213.0;0.0;"The University of Georgia"
257.0;166.0;213.0;0.0;"Tulane University"
355.0;167.0;349.0;0.0;"Universidad de Chile"
199.0;168.0;140.0;0.0;"University of Granada"
199.0;169.0;140.0;0.0;"University of Murcia"
199.0;170.0;140.0;0.0;"Universidad de Sevilla"
199.0;171.0;140.0;0.0;"Universidad de Zaragoza"
199.0;172.0;140.0;0.0;"Universidade de Santiago de Compostela"
353.0;173.0;349.0;0.0;"Universidade de São Paulo (USP)"
353.0;174.0;349.0;0.0;"Universidade Federal do Rio Grande Do Sul"
174.0;175.0;140.0;0.0;"University of Turin"
174.0;176.0;140.0;0.0;"University of Pisa"
199.0;177.0;140.0;0.0;"Universitat de Valencia"
158.0;178.0;140.0;0.0;"Université Charles-de-Gaulle Lille 3"
158.0;179.0;140.0;0.0;"Université Lumière Lyon 2"
257.0;180.0;213.0;0.0;"University of Arizona"
257.0;181.0;213.0;0.0;"University of California, Riverside"
257.0;182.0;213.0;0.0;"University of Colorado Boulder"
208.0;183.0;140.0;0.0;"University of Essex"
257.0;184.0;213.0;0.0;"University of Florida"
187.0;185.0;140.0;0.0;"University of Groningen"
257.0;186.0;213.0;0.0;"University of Houston"
54.0;187.0;6.0;0.0;"University of Johannesburg "
257.0;188.0;213.0;0.0;"University of Kansas"
208.0;189.0;140.0;0.0;"University of Kent"
205.0;190.0;140.0;0.0;"University of Lausanne"
191.0;191.0;140.0;0.0;"University of Lisbon "
208.0;192.0;140.0;0.0;"University of Liverpool"
257.0;193.0;213.0;0.0;"University of Massachusetts Amherst"
257.0;194.0;213.0;0.0;"University of Miami"
257.0;195.0;213.0;0.0;"University of New Mexico"
257.0;196.0;213.0;0.0;"University of Oklahoma"
257.0;197.0;213.0;0.0;"University of Rochester"
222.0;198.0;213.0;0.0;"University of Saskatchewan"
222.0;199.0;213.0;0.0;"University of Waterloo"
257.0;200.0;213.0;0.0;"Washington University in St. Louis"
